Cheapest,Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 16:50,2024-12-08 18:10,UX3771
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 21:10,2024-12-08 22:30,UX3774
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 12:20,2024-12-08 13:40,UX3786
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 15:00,2024-12-08 17:40,UX1093,AMS,CPH,2024-12-08 21:10,2024-12-08 22:30,UX3774
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 13:00,2024-12-08 15:40,UX3765,AMS,CPH,2024-12-08 16:50,2024-12-08 18:10,UX3771
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 13:00,2024-12-08 15:40,UX3765,AMS,CPH,2024-12-08 21:10,2024-12-08 22:30,UX3774
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 20:25,2024-12-08 23:00,UX3769,AMS,CPH,2024-12-09 16:50,2024-12-09 18:10,UX3771
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 11:05,2024-12-01 13:45,UX1098,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 16:50,2024-12-08 18:10,UX3771
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 11:05,2024-12-01 13:45,UX1098,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 21:10,2024-12-08 22:30,UX3774
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 11:05,2024-12-01 13:45,UX1098,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 12:20,2024-12-08 13:40,UX3786
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 11:05,2024-12-01 13:45,UX1098,MAD,AMS,2024-12-08 15:00,2024-12-08 17:40,UX1093,AMS,CPH,2024-12-08 21:10,2024-12-08 22:30,UX3774
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 11:05,2024-12-01 13:45,UX1098,MAD,AMS,2024-12-08 13:00,2024-12-08 15:40,UX3765,AMS,CPH,2024-12-08 16:50,2024-12-08 18:10,UX3771
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 11:05,2024-12-01 13:45,UX1098,MAD,AMS,2024-12-08 13:00,2024-12-08 15:40,UX3765,AMS,CPH,2024-12-08 21:10,2024-12-08 22:30,UX3774
True,504.38,70.38,CPH,AMS,2024-12-01 06:00,2024-12-01 07:25,UX3756,AMS,MAD,2024-12-01 11:05,2024-12-01 13:45,UX1098,MAD,AMS,2024-12-08 20:25,2024-12-08 23:00,UX3769,AMS,CPH,2024-12-09 16:50,2024-12-09 18:10,UX3771
True,504.38,70.38,CPH,AMS,2024-12-01 14:10,2024-12-01 15:35,UX3757,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 16:50,2024-12-08 18:10,UX3771
True,504.38,70.38,CPH,AMS,2024-12-01 14:10,2024-12-01 15:35,UX3757,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 21:10,2024-12-08 22:30,UX3774
True,504.38,70.38,CPH,AMS,2024-12-01 14:10,2024-12-01 15:35,UX3757,AMS,MAD,2024-12-01 19:10,2024-12-01 21:50,UX1094,MAD,AMS,2024-12-08 07:05,2024-12-08 09:45,UX1091,AMS,CPH,2024-12-08 12:20,2024-12-08 13:40,UX3786
