Cheapest,Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,outbound 3 airport departure,outbound 3 airport arrival,outbound 3 time departure,outbound 3 time arrival,outbound 3 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number,inbound 3 airport departure,inbound 3 airport arrival,inbound 3 time departure,inbound 3 time arrival,inbound 3 flight number
True,1499.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 07:00,2024-11-17 07:40,UX2119,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
True,1499.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 09:20,2024-11-17 10:00,UX2121,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
False,1569.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 07:00,2024-11-17 07:40,UX2119,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
False,1569.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 09:20,2024-11-17 10:00,UX2121,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
False,1569.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 07:00,2024-11-17 07:40,UX2119,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
False,1569.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 09:20,2024-11-17 10:00,UX2121,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
False,1640.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 07:00,2024-11-17 07:40,UX2119,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
False,1640.39,395.39,JFK,MAD,2024-11-15 22:05,2024-11-16 11:10,UX92,MAD,LPA,2024-11-16 15:05,2024-11-16 17:00,UX9164,LPA,FUE,2024-11-17 09:20,2024-11-17 10:00,UX2121,FUE,LPA,2024-11-22 08:10,2024-11-22 08:50,UX2120,LPA,MAD,2024-11-22 10:00,2024-11-22 13:45,UX9161,MAD,JFK,2024-11-22 15:50,2024-11-22 18:05,UX91
