Cheapest,Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
True,1586.52,430.52,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,1658.52,430.52,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,1658.52,430.52,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,1729.52,430.52,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,3829.34,812.34,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,3900.34,812.34,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,4020.34,812.34,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,4091.34,812.34,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
False,6261.16,1194.16,JFK,MAD,2024-10-10 22:05,2024-10-11 11:20,UX92,MAD,AUH,2024-10-12 10:10,2024-10-12 19:25,UX2703,AUH,MAD,2024-10-17 02:35,2024-10-17 08:30,UX2702,MAD,JFK,2024-10-17 15:35,2024-10-17 17:45,UX91
